"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
17;"Ambush";"5";"Unknown";"Okapi Wildlife Reserve, Democratic Republic of Congo";"Four Congolese park rangers and one porter have been killed in an ambush in the eastern Democratic Republic of the Congo. The attack is thought to have been by Mai Mai rebels from the area who have been carrying out illegal poaching and mining activities.[108]";"Mai-Mai";"Ituri conflict";"July";"2017"
17;"Suicide bombing";"2 (+1)";"3";"Peshawar, Pakistan";"Two security forces were killed and others were injured when a suicide bomber blew himself up in Peshawar.[109]";"Tehrik-i-Taliban Pakistan";"War in North-West Pakistan";"July";"2017"
17;"Bombing";"1";"4";"Chaman, Pakistan";"A security force was killed and others were wounded after a bomb exploded in Chaman.[109]";"Tehrik-i-Taliban Pakistan";"War in North-West Pakistan";"July";"2017"
17;"Bombing";"1";"3";"Logar Province, Afghanistan";"A policeman was killed and three others were wounded in a roadside mine blast in central Logar province.[110]";"Taliban";"War in Afghanistan";"July";"2017"
17;"Shooting, kidnapping";"1";"2";"Diyala Governorate, Iraq";"A woman was killed when Islamic State militants raided her home in northeast of Diyala governorate and kidnapped two of her sons.[111]";"Islamic State";"Iraqi Civil War";"July";"2017"
17;"Suicide bombings";"8 (+3)";"15";"Maiduguri, Nigeria";"Three Boko Haram female suicide bombers killed 8 people and injured 15 in the city of Maiduguri, in Borno State.";"Boko Haram";"Boko Haram insurgency";"July";"2017"
17;"Shooting";"3";"0";"Herat Province, Afghanistan";"Three Afghan border police personnel, including a policewoman, were shot dead along a road in the western Afghan province of Herat.[112]";"Taliban (suspected)";"War in Afghanistan";"July";"2017"
17;"Suicide car bombing";"8+";"Unknown";"Shabwah, Yemen";"A booby-trapped car struck a pro-government military base in Yemen's southeastern province of Shabwa, leaving at least eight soldiers killed.[113][114]";"Al-Qaeda in the Arabian Peninsula";"Yemeni Civil War";"July";"2017"
17;"Bombing";"0";"17";"Hakkâri Province, Turkey";"Seventeen Turkish soldiers were wounded after a hand-made explosive detonated by the outlawed Kurdistan Workers' Party (PKK) militants during a military vehicle passage in the eastern province of Hakkari.[115]";"PKK";"Kurdish–Turkish conflict";"July";"2017"
17;"Shooting, Bombing";"5";"11";"Sinai Peninsula, Egypt";"Five police officers were killed and eleven wounded following attacks in Arish. The first was a shooting attack when militants opened fire on an armored vehicle before setting the vehicle ablaze, shortly after as reinforcements arrived a roadside bomb exploded. The second attack happened near El Arish International Airport when another roadside bomb exploded next to police armored vehicles.[116]";"Soldiers of Egypt (suspected)";"Sinai insurgency";"July";"2017"
17;"Arson";"0";"0";"Alto Bio Bio, Chile";"An incendiary attack on the San Miguel bottom in Alto Biobío destroyed a shed, a stable and a house that was not occupied. In addition to the material damages, the attack left six dead horses.[117][118]";"Coordinadora Arauco-Malleco";"Mapuche conflict";"July";"2017"
18;"Bombing";"1";"1";"Baghdad, Iraq";"An Iraqi soldier was killed and another was wounded on Tuesday when a bomb exploded north of Baghdad.[119]";"Islamic State";"Iraqi Civil War";"July";"2017"
18;"Car bombing, bombing";"4+";"Unknown";"Al-Hasakah Governorate, Syria";"Two explosions targeted positions of the Kurdish People's Protection Units (YPG) in the countryside of Syria's northeastern city of Hasakah, killing at least four people.[120]";"Islamic State (suspected)";"Syrian Civil War";"July";"2017"
18;"Vehicular attack";"0 (+1)";"4";"Beit Einun, West Bank";"Two IDF soldiers were lightly wounded in a car-ramming attack near the West Bank settlement of Kiryat Arba on Tuesday. According to initial reports, two pedestrians were also wounded in the attack.[121]";"Popular Front for the Liberation of Palestine (suspected)";"Israeli–Palestinian conflict";"July";"2017"
18;"Bombing";"1";"3";"Mosul, Iraq";"A civil defence officer was killed and three of his assistants were wounded as an improvised explosive device (IED) exploded while searching for survivors under rubble in the Old City of Mosul.[122]";"Islamic State (suspected)";"Iraqi Civil War";"July";"2017"
18;"Shooting, kidnapping";"5";"5";"Kirkuk Governorate, Iraq";"ISIS militants stormed a village in northwestern Kirkuk, killing five people and capturing five others.[123]";"Islamic State";"Iraqi Civil War";"July";"2017"
18;"Clashes";"4";"1";"Tal Afar, Iraq";"Four al-Hashd al-Shaabi (the Popular Mobilization Forces) fighters were killed in clashes with Islamic State militants near Tal Afar west of Mosul.[124]";"Islamic State";"Iraqi Civil War";"July";"2017"
18;"Shooting";"0";"4";"Balad, Iraq";"Four Federal Police personnel were injured in an armed attack, south of Tikrit.[125]";"Islamic State";"Iraqi Civil War";"July";"2017"
18;"Bombing, shooting";"9";"9";"Zabul Province, Afghanistan";"At least eight policemen were killed and seven wounded in a clash with the Taliban in Arghandab district of Zabul province. In addition, an Afghan National Army soldier was killed, and two more where injured in the same place when their vehicle hit a roadside mine.[126]";"Taliban";"War in Afghanistan";"July";"2017"
18;"Assassination";"1";"0";"Norte de Santander Department, Colombia";"A social leader in the Catatumbo was killed, the victim belonged to the Catatumbo Peasant Association and the Patriotic March movement.[127]";"ELN (suspected)";"Colombian conflict";"July";"2017"
